census_tract_id,census_tract_label,total_crimes,crime_vehicle___stolen,crime_battery___simple_ass,crime_burglary_from_vehicl,crime_theft_of_identity,crime_vandalism___felony_(,crime_burglary,crime_theft_plain___petty_,crime_assault_with_deadly_,crime_intimate_partner___s,crime_theft_from_motor_veh
213402.0,2134.02,1986,220.0,207.0,74.0,122.0,130.0,61.0,89.0,136.0,131.0,86.0
214000.0,2140.0,1155,121.0,60.0,73.0,65.0,104.0,167.0,85.0,26.0,26.0,38.0
214100.0,2141.0,932,107.0,60.0,76.0,58.0,44.0,94.0,52.0,38.0,9.0,42.0
214400.0,2144.0,624,50.0,41.0,61.0,43.0,49.0,36.0,48.0,19.0,20.0,25.0
214501.0,2145.01,2952,83.0,157.0,141.0,80.0,121.0,73.0,306.0,39.0,40.0,47.0
214503.0,2145.03,786,89.0,42.0,72.0,83.0,30.0,23.0,100.0,20.0,39.0,32.0
214504.0,2145.04,220,16.0,7.0,13.0,22.0,11.0,7.0,23.0,2.0,18.0,6.0
214505.0,2145.05,264,20.0,13.0,14.0,30.0,14.0,13.0,31.0,3.0,12.0,11.0
214600.0,2146.0,1065,63.0,85.0,78.0,51.0,92.0,159.0,82.0,21.0,21.0,36.0
214700.0,2147.0,909,80.0,69.0,48.0,51.0,73.0,106.0,67.0,28.0,15.0,24.0
214800.0,2148.0,1330,72.0,96.0,101.0,60.0,76.0,104.0,134.0,48.0,24.0,30.0
214902.0,2149.02,896,52.0,73.0,77.0,79.0,59.0,65.0,93.0,25.0,24.0,22.0
214903.0,2149.03,186,12.0,8.0,17.0,16.0,12.0,19.0,15.0,4.0,7.0,7.0
214904.0,2149.04,321,22.0,14.0,33.0,19.0,34.0,48.0,29.0,9.0,7.0,7.0
215101.0,2151.01,1151,56.0,71.0,194.0,77.0,63.0,71.0,136.0,22.0,29.0,29.0
215102.0,2151.02,1764,77.0,30.0,101.0,57.0,47.0,51.0,107.0,10.0,29.0,42.0
216100.0,2161.0,643,95.0,17.0,46.0,33.0,34.0,75.0,25.0,11.0,16.0,45.0
216201.0,2162.01,526,59.0,24.0,54.0,28.0,29.0,52.0,41.0,18.0,9.0,35.0
216202.0,2162.02,528,66.0,29.0,43.0,37.0,34.0,28.0,28.0,12.0,18.0,41.0
216301.0,2163.01,575,41.0,57.0,26.0,40.0,49.0,63.0,47.0,21.0,10.0,17.0
216302.0,2163.02,726,75.0,35.0,98.0,50.0,43.0,71.0,59.0,15.0,14.0,48.0
216401.0,2164.01,985,88.0,89.0,55.0,63.0,82.0,69.0,68.0,22.0,27.0,34.0
216402.0,2164.02,583,64.0,33.0,57.0,58.0,35.0,49.0,46.0,9.0,21.0,28.0
216700.0,2167.0,861,107.0,50.0,57.0,60.0,55.0,73.0,47.0,25.0,27.0,56.0
216800.0,2168.0,896,72.0,80.0,45.0,68.0,57.0,44.0,48.0,39.0,25.0,46.0
216901.0,2169.01,579,81.0,24.0,47.0,40.0,30.0,58.0,25.0,14.0,18.0,44.0
216902.0,2169.02,524,69.0,37.0,37.0,35.0,28.0,33.0,28.0,19.0,11.0,33.0
217001.0,2170.01,544,58.0,44.0,28.0,32.0,43.0,55.0,34.0,8.0,18.0,17.0
217002.0,2170.02,1225,138.0,93.0,70.0,88.0,102.0,102.0,69.0,32.0,42.0,54.0
217101.0,2171.01,416,53.0,27.0,15.0,35.0,29.0,18.0,31.0,15.0,20.0,25.0
217102.0,2171.02,769,108.0,61.0,32.0,65.0,64.0,42.0,40.0,37.0,29.0,46.0
217200.0,2172.0,2005,186.0,152.0,111.0,86.0,79.0,71.0,123.0,89.0,58.0,98.0
218110.0,2181.1,1216,126.0,150.0,64.0,61.0,77.0,87.0,68.0,93.0,51.0,44.0
218120.0,2181.2,785,101.0,95.0,34.0,50.0,59.0,37.0,44.0,42.0,45.0,34.0
218210.0,2182.1,960,79.0,78.0,13.0,54.0,50.0,22.0,31.0,59.0,54.0,31.0
218220.0,2182.2,1151,153.0,86.0,61.0,83.0,98.0,57.0,80.0,50.0,85.0,57.0
218300.0,2183.0,1404,168.0,105.0,77.0,127.0,86.0,62.0,79.0,81.0,91.0,64.0
218400.0,2184.0,802,131.0,73.0,35.0,71.0,50.0,19.0,29.0,34.0,42.0,40.0
218500.0,2185.0,617,84.0,40.0,32.0,56.0,45.0,16.0,22.0,37.0,19.0,51.0
218600.0,2186.0,660,95.0,59.0,27.0,60.0,29.0,29.0,30.0,51.0,41.0,31.0
218701.0,2187.01,357,59.0,32.0,22.0,28.0,16.0,17.0,17.0,19.0,17.0,15.0
218702.0,2187.02,981,153.0,82.0,31.0,76.0,61.0,29.0,29.0,70.0,51.0,40.0
218800.0,2188.0,574,94.0,40.0,28.0,40.0,38.0,16.0,20.0,32.0,34.0,28.0
218900.0,2189.0,1146,194.0,56.0,63.0,105.0,79.0,33.0,49.0,75.0,69.0,55.0
219010.0,2190.1,715,96.0,67.0,27.0,69.0,48.0,18.0,28.0,48.0,51.0,31.0
219020.0,2190.2,765,134.0,48.0,25.0,42.0,58.0,32.0,25.0,44.0,53.0,40.0
219300.0,2193.0,986,129.0,92.0,34.0,57.0,60.0,23.0,60.0,91.0,41.0,39.0
219500.0,2195.0,693,49.0,33.0,22.0,42.0,35.0,23.0,39.0,24.0,23.0,11.0
219700.0,2197.0,1523,191.0,127.0,51.0,79.0,101.0,69.0,54.0,94.0,64.0,61.0
219800.0,2198.0,780,93.0,50.0,28.0,50.0,52.0,42.0,23.0,45.0,49.0,42.0
219901.0,2199.01,744,105.0,65.0,26.0,56.0,55.0,15.0,21.0,52.0,54.0,25.0
219902.0,2199.02,906,115.0,53.0,44.0,56.0,56.0,44.0,39.0,47.0,45.0,36.0
